subject,bases,num_bases
alpine plant,alpin|plant,2
alpine skiing,alpin|ski,2
alpinia,alpinia,1
altar,altar,1
altered mental status,alter|mental|statu,3
alterity,alter,1
alternaria,alternaria,1
alternaria alternata,alternaria|alternata,2
alternation (linguistics),altern|linguist,2
alternative assessment,altern|assess,2
alternative dispute resolution,altern|disput|resolut,3
alternative education,altern|educ,2
alternative energy,altern|energi,2
alternative energy sources,altern|energi|sourc,3
alternative fuels,altern|fuel,2
alternative media,altern|medium,2
alternative medicine,altern|medicin,2
alternative minimum tax,altern|minimum|tax,3
alternative music,altern|music,2
alternative sentencing,altern|sentenc,2
alternatives,altern,1
altimeter,altimet,1
altitude,altitud,1
altitude (triangle),altitud|triangl,2
"altman, b, building (nyc)",altman|build|nyc,3
altmetrics,altmetr,1
alto voice,alto|voic,2
altricial,altrici,1
altruism,altruism,1
altruism (biology),altruism|biolog,2
alum,alum,1
alumina,alumina,1
aluminium,aluminium,1
aluminium oxide,aluminium|oxid,2
aluminium silicate,aluminium|silic,2
aluminum,aluminum,1
aluminum alloys,alloy|aluminum,2
aluminum composites,aluminum|composit,2
